;UserID;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;Combined_EmploymentItems;Num_EmploymentItems
4304;117009;['contract marketing consultant time', 'sr marketing strategy director', 'marketing manager', 'marketing director'];['13-1199', '11-2021', '11-2021', '11-2021'];['13-10', '11-20', '11-20', '11-20'];['13', '11', '11', '11'];[('13-1199', '13-10', '13', 'contract marketing consultant time'), ('11-2021', '11-20', '11', 'sr marketing strategy director'), ('11-2021', '11-20', '11', 'marketing manager'), ('11-2021', '11-20', '11', 'marketing director')];4
4305;117063;['cast member stores', 'bookkeeper', 'transit driver', 'sales', 'dispatcher'];['41-2011', '43-3031', '53-3052', '41-2031', '43-5032'];['41-20', '43-30', '53-30', '41-20', '43-50'];['41', '43', '53', '41', '43'];[('41-2011', '41-20', '41', 'cast member stores'), ('43-3031', '43-30', '43', 'bookkeeper'), ('53-3052', '53-30', '53', 'transit driver'), ('41-2031', '41-20', '41', 'sales'), ('43-5032', '43-50', '43', 'dispatcher')];5
4307;117098;['clerk', 'teacher', 'tech support', 'project manager'];['43-9061', '25-2021', '15-1232', '13-1082'];['43-90', '25-20', '15-12', '13-10'];['43', '25', '15', '13'];[('43-9061', '43-90', '43', 'clerk'), ('25-2021', '25-20', '25', 'teacher'), ('15-1232', '15-12', '15', 'tech support'), ('13-1082', '13-10', '13', 'project manager')];4
4308;117138;['residentail loan processer', 'sba loan processor'];['43-4131', '43-4131'];['43-40', '43-40'];['43', '43'];[('43-4131', '43-40', '43', 'residentail loan processer'), ('43-4131', '43-40', '43', 'sba loan processor')];2
4309;117145;['senior digital project manager', 'project manager', 'interactive project manager', 'interactive project manager', 'senior account executive', 'strategic alliance manager', 'senior account executive'];['15-1299', '13-1082', '15-1299', '15-1299', '41-3091', '11-2021', '41-3091'];['15-12', '13-10', '15-12', '15-12', '41-30', '11-20', '41-30'];['15', '13', '15', '15', '41', '11', '41'];[('15-1299', '15-12', '15', 'senior digital project manager'), ('13-1082', '13-10', '13', 'project manager'), ('15-1299', '15-12', '15', 'interactive project manager'), ('15-1299', '15-12', '15', 'interactive project manager'), ('41-3091', '41-30', '41', 'senior account executive'), ('11-2021', '11-20', '11', 'strategic alliance manager'), ('41-3091', '41-30', '41', 'senior account executive')];7
4310;117180;['director strategy performance excellence', 'strategic marketing manager', 'operations manager'];['11-1021', '11-2021', '11-1021'];['11-10', '11-20', '11-10'];['11', '11', '11'];[('11-1021', '11-10', '11', 'director strategy performance excellence'), ('11-2021', '11-20', '11', 'strategic marketing manager'), ('11-1021', '11-10', '11', 'operations manager')];3
4312;117205;['business analyst tca consulting group', 'business analyst tca consulting group', 'business analyst lead', 'business analyst lead', 'recruiter', 'business analyst consultant'];['13-1111', '13-1111', '13-1111', '13-1111', '13-1071', '13-1111'];['13-10', '13-10', '13-10', '13-10', '13-10', '13-10'];['13', '13', '13', '13', '13', '13'];[('13-1111', '13-10', '13', 'business analyst tca consulting group'), ('13-1111', '13-10', '13', 'business analyst tca consulting group'), ('13-1111', '13-10', '13', 'business analyst lead'), ('13-1111', '13-10', '13', 'business analyst lead'), ('13-1071', '13-10', '13', 'recruiter'), ('13-1111', '13-10', '13', 'business analyst consultant')];6
4313;117233;['project manager', 'database specialist', 'ms access database developer health information management analyst'];['13-1082', '15-1242', '15-1242'];['13-10', '15-12', '15-12'];['13', '15', '15'];[('13-1082', '13-10', '13', 'project manager'), ('15-1242', '15-12', '15', 'database specialist'), ('15-1242', '15-12', '15', 'ms access database developer health information management analyst')];3
4314;117281;['p.a.g. specialist', 'order processor specialist'];['15-1232', '43-4051'];['15-12', '43-40'];['15', '43'];[('15-1232', '15-12', '15', 'p.a.g. specialist'), ('43-4051', '43-40', '43', 'order processor specialist')];2
4315;117284;['collection supervisor', 'commercial lender avp', 'branch manager'];['43-1011', '11-3031', '11-1021'];['43-10', '11-30', '11-10'];['43', '11', '11'];[('43-1011', '43-10', '43', 'collection supervisor'), ('11-3031', '11-30', '11', 'commercial lender avp'), ('11-1021', '11-10', '11', 'branch manager')];3
4316;117287;['transaction tax analyst', 'income tax preparer consultant', 'income tax coordinator'];['13-2011', '13-2082', '13-2082'];['13-20', '13-20', '13-20'];['13', '13', '13'];[('13-2011', '13-20', '13', 'transaction tax analyst'), ('13-2082', '13-20', '13', 'income tax preparer consultant'), ('13-2082', '13-20', '13', 'income tax coordinator')];3
4317;117329;['office clerk', 'authorization representative', 'counselor'];['43-9061', '29-2099', '21-1012'];['43-90', '29-20', '21-10'];['43', '29', '21'];[('43-9061', '43-90', '43', 'office clerk'), ('29-2099', '29-20', '29', 'authorization representative'), ('21-1012', '21-10', '21', 'counselor')];3
4318;117343;['computer service technician', 'online banking retail email representative'];['15-1232', '43-3071'];['15-12', '43-30'];['15', '43'];[('15-1232', '15-12', '15', 'computer service technician'), ('43-3071', '43-30', '43', 'online banking retail email representative')];2
4319;117358;['consultant', 'clinic administrator', 'director', 'sales manager'];['13-1111', '11-9111', '11-1011', '11-2022'];['13-10', '11-90', '11-10', '11-20'];['13', '11', '11', '11'];[('13-1111', '13-10', '13', 'consultant'), ('11-9111', '11-90', '11', 'clinic administrator'), ('11-1011', '11-10', '11', 'director'), ('11-2022', '11-20', '11', 'sales manager')];4
4320;117366;['regional director nursing', 'field rn clinical case manager', 'clinical director', 'clinical operations manager therapy management program', 'home infusion nurse supervisor', 'registered nurse'];['11-9111', '29-1141', '11-9111', '11-9111', '29-1141', '29-1141'];['11-90', '29-10', '11-90', '11-90', '29-10', '29-10'];['11', '29', '11', '11', '29', '29'];[('11-9111', '11-90', '11', 'regional director nursing'), ('29-1141', '29-10', '29', 'field rn clinical case manager'), ('11-9111', '11-90', '11', 'clinical director'), ('11-9111', '11-90', '11', 'clinical operations manager therapy management program'), ('29-1141', '29-10', '29', 'home infusion nurse supervisor'), ('29-1141', '29-10', '29', 'registered nurse')];6
4321;117372;['owner ceo', 'partner manager', 'regulatory compliance analyst legislative', 'national project manager international affairs political govt'];['11-1011', '11-2021', '13-1041', '11-2032'];['11-10', '11-20', '13-10', '11-20'];['11', '11', '13', '11'];[('11-1011', '11-10', '11', 'owner ceo'), ('11-2021', '11-20', '11', 'partner manager'), ('13-1041', '13-10', '13', 'regulatory compliance analyst legislative'), ('11-2032', '11-20', '11', 'national project manager international affairs political govt')];4
4322;117374;['office support', 'programmer business analyst', 'programmer warehouse analyst', 'project manager rpg programmer consultant', 'rpg programmer'];['43-9061', '15-1211', '15-1211', '15-1211', '15-1251'];['43-90', '15-12', '15-12', '15-12', '15-12'];['43', '15', '15', '15', '15'];[('43-9061', '43-90', '43', 'office support'), ('15-1211', '15-12', '15', 'programmer business analyst'), ('15-1211', '15-12', '15', 'programmer warehouse analyst'), ('15-1211', '15-12', '15', 'project manager rpg programmer consultant'), ('15-1251', '15-12', '15', 'rpg programmer')];5
4323;117378;['sales representative', 'territory manager', 'southwest territory sales manager', 'southwest sales manager', 'national account regional sales manager'];['41-4012', '11-2022', '11-2022', '11-2022', '11-2022'];['41-40', '11-20', '11-20', '11-20', '11-20'];['41', '11', '11', '11', '11'];[('41-4012', '41-40', '41', 'sales representative'), ('11-2022', '11-20', '11', 'territory manager'), ('11-2022', '11-20', '11', 'southwest territory sales manager'), ('11-2022', '11-20', '11', 'southwest sales manager'), ('11-2022', '11-20', '11', 'national account regional sales manager')];5
4324;117390;['infrastructure architect technology', 'mis manager', 'sr network engineer', 'network engineer'];['15-1299', '11-3021', '15-1244', '15-1244'];['15-12', '11-30', '15-12', '15-12'];['15', '11', '15', '15'];[('15-1299', '15-12', '15', 'infrastructure architect technology'), ('11-3021', '11-30', '11', 'mis manager'), ('15-1244', '15-12', '15', 'sr network engineer'), ('15-1244', '15-12', '15', 'network engineer')];4
4325;117392;['mechanical project engineer', 'product manager', 'project engineer', 'mechanical design engineer', 'project engineer project manager', 'sr mechanical engineer automation group'];['17-2141', '11-2021', '17-2112', '17-2141', '11-9041', '17-2141'];['17-20', '11-20', '17-20', '17-20', '11-90', '17-20'];['17', '11', '17', '17', '11', '17'];[('17-2141', '17-20', '17', 'mechanical project engineer'), ('11-2021', '11-20', '11', 'product manager'), ('17-2112', '17-20', '17', 'project engineer'), ('17-2141', '17-20', '17', 'mechanical design engineer'), ('11-9041', '11-90', '11', 'project engineer project manager'), ('17-2141', '17-20', '17', 'sr mechanical engineer automation group')];6
4326;117404;['success advisor inside sales', 'inside sales team lead', 'inside sales team lead year', 'inside sales representative', 'customer service lead'];['41-3031', '41-1012', '41-1012', '41-4012', '43-1011'];['41-30', '41-10', '41-10', '41-40', '43-10'];['41', '41', '41', '41', '43'];[('41-3031', '41-30', '41', 'success advisor inside sales'), ('41-1012', '41-10', '41', 'inside sales team lead'), ('41-1012', '41-10', '41', 'inside sales team lead year'), ('41-4012', '41-40', '41', 'inside sales representative'), ('43-1011', '43-10', '43', 'customer service lead')];5
4327;117435;['marketing assistant', 'sr administrative assistant administrative assistant', 'sr administrative assistant', 'secretary ii', 'administrative assistant sr', 'glen wong vice president bram aristono accounting', 'administrative assistant human resources', 'administration assistant', 'administration assistant'];['43-6014', '43-6014', '43-6011', '43-6014', '43-6011', '11-1011', '43-4161', '43-6014', '43-6014'];['43-60', '43-60', '43-60', '43-60', '43-60', '11-10', '43-40', '43-60', '43-60'];['43', '43', '43', '43', '43', '11', '43', '43', '43'];[('43-6014', '43-60', '43', 'marketing assistant'), ('43-6014', '43-60', '43', 'sr administrative assistant administrative assistant'), ('43-6011', '43-60', '43', 'sr administrative assistant'), ('43-6014', '43-60', '43', 'secretary ii'), ('43-6011', '43-60', '43', 'administrative assistant sr'), ('11-1011', '11-10', '11', 'glen wong vice president bram aristono accounting'), ('43-4161', '43-40', '43', 'administrative assistant human resources'), ('43-6014', '43-60', '43', 'administration assistant'), ('43-6014', '43-60', '43', 'administration assistant')];9
4328;117440;['skip tracer', 'investment representative', 'loan processor', 'telephone clerk'];['33-9021', '41-3031', '43-4131', '43-4171'];['33-90', '41-30', '43-40', '43-40'];['33', '41', '43', '43'];[('33-9021', '33-90', '33', 'skip tracer'), ('41-3031', '41-30', '41', 'investment representative'), ('43-4131', '43-40', '43', 'loan processor'), ('43-4171', '43-40', '43', 'telephone clerk')];4
4329;117483;['warehouse manager', 'warehouse manager'];['11-3071', '11-3071'];['11-30', '11-30'];['11', '11'];[('11-3071', '11-30', '11', 'warehouse manager'), ('11-3071', '11-30', '11', 'warehouse manager')];2
4330;117489;['guest services agent office manager', 'guest services agent', 'desk agent concierge golf villas oro valley', 'administrative assistant general manager desk agent lead', 'administrative assistant mail encoder', 'donor development coordinator', 'administrative temporary assignments'];['43-1011', '43-4081', '43-4081', '43-6014', '43-6014', '13-1131', '43-6014'];['43-10', '43-40', '43-40', '43-60', '43-60', '13-10', '43-60'];['43', '43', '43', '43', '43', '13', '43'];[('43-1011', '43-10', '43', 'guest services agent office manager'), ('43-4081', '43-40', '43', 'guest services agent'), ('43-4081', '43-40', '43', 'desk agent concierge golf villas oro valley'), ('43-6014', '43-60', '43', 'administrative assistant general manager desk agent lead'), ('43-6014', '43-60', '43', 'administrative assistant mail encoder'), ('13-1131', '13-10', '13', 'donor development coordinator'), ('43-6014', '43-60', '43', 'administrative temporary assignments')];7
4331;117495;['operations manager', 'information technology manager', 'customer service manager', 'customer service manager', 'line customer service manager project manager', 'customer operations supervisor', 'technical support representative'];['11-1021', '11-3021', '43-1011', '43-1011', '43-1011', '43-1011', '15-1232'];['11-10', '11-30', '43-10', '43-10', '43-10', '43-10', '15-12'];['11', '11', '43', '43', '43', '43', '15'];[('11-1021', '11-10', '11', 'operations manager'), ('11-3021', '11-30', '11', 'information technology manager'), ('43-1011', '43-10', '43', 'customer service manager'), ('43-1011', '43-10', '43', 'customer service manager'), ('43-1011', '43-10', '43', 'line customer service manager project manager'), ('43-1011', '43-10', '43', 'customer operations supervisor'), ('15-1232', '15-12', '15', 'technical support representative')];7
4332;117507;['insurance recruiting specialist', 'claims adjuster workers compensation', 'alphanumeric data entry', 'customer service representative'];['13-1071', '13-1031', '43-9021', '43-4051'];['13-10', '13-10', '43-90', '43-40'];['13', '13', '43', '43'];[('13-1071', '13-10', '13', 'insurance recruiting specialist'), ('13-1031', '13-10', '13', 'claims adjuster workers compensation'), ('43-9021', '43-90', '43', 'alphanumeric data entry'), ('43-4051', '43-40', '43', 'customer service representative')];4
4333;117522;['system engineer administrator', 'system administrator'];['15-1244', '15-1244'];['15-12', '15-12'];['15', '15'];[('15-1244', '15-12', '15', 'system engineer administrator'), ('15-1244', '15-12', '15', 'system administrator')];2
4334;117524;['controller', 'financial reporting manager consultant', 'controller', 'lead financial reporting accountant'];['11-3031', '11-3031', '11-3031', '13-2011'];['11-30', '11-30', '11-30', '13-20'];['11', '11', '11', '13'];[('11-3031', '11-30', '11', 'controller'), ('11-3031', '11-30', '11', 'financial reporting manager consultant'), ('11-3031', '11-30', '11', 'controller'), ('13-2011', '13-20', '13', 'lead financial reporting accountant')];4
4336;117571;['help desk support', 'programmer analyst', 'consultant'];['15-1232', '15-1211', '13-1111'];['15-12', '15-12', '13-10'];['15', '15', '13'];[('15-1232', '15-12', '15', 'help desk support'), ('15-1211', '15-12', '15', 'programmer analyst'), ('13-1111', '13-10', '13', 'consultant')];3
4337;117582;['desktop support specialist help desk analyst', 'information technology technician', 'system administrator level', 'senior systems engineer', 'technical support specialist', 'manager advanced technology', 'senior technical representative'];['15-1232', '15-1232', '15-1244', '15-1252', '15-1232', '11-3021', '41-4011'];['15-12', '15-12', '15-12', '15-12', '15-12', '11-30', '41-40'];['15', '15', '15', '15', '15', '11', '41'];[('15-1232', '15-12', '15', 'desktop support specialist help desk analyst'), ('15-1232', '15-12', '15', 'information technology technician'), ('15-1244', '15-12', '15', 'system administrator level'), ('15-1252', '15-12', '15', 'senior systems engineer'), ('15-1232', '15-12', '15', 'technical support specialist'), ('11-3021', '11-30', '11', 'manager advanced technology'), ('41-4011', '41-40', '41', 'senior technical representative')];7
4338;117592;['regulatory affairs manager', 'compliance sanitarian ii', 'regulatory affairs manager'];['11-9199', '13-1041', '11-9199'];['11-90', '13-10', '11-90'];['11', '13', '11'];[('11-9199', '11-90', '11', 'regulatory affairs manager'), ('13-1041', '13-10', '13', 'compliance sanitarian ii'), ('11-9199', '11-90', '11', 'regulatory affairs manager')];3
4339;117596;['controller', 'consultant', 'audit manager'];['11-3031', '13-1111', '11-3031'];['11-30', '13-10', '11-30'];['11', '13', '11'];[('11-3031', '11-30', '11', 'controller'), ('13-1111', '13-10', '13', 'consultant'), ('11-3031', '11-30', '11', 'audit manager')];3
4340;117605;['director technology', 'educaton technology director', 'classroom teacher technology support'];['11-3021', '11-3021', '25-2031'];['11-30', '11-30', '25-20'];['11', '11', '25'];[('11-3021', '11-30', '11', 'director technology'), ('11-3021', '11-30', '11', 'educaton technology director'), ('25-2031', '25-20', '25', 'classroom teacher technology support')];3
4341;117639;['family court advocate', 'children program coordinator case manager', 'youth counselor', 'administrative assistant', 'receptionist'];['21-1021', '21-1093', '21-1011', '43-6014', '43-4171'];['21-10', '21-10', '21-10', '43-60', '43-40'];['21', '21', '21', '43', '43'];[('21-1021', '21-10', '21', 'family court advocate'), ('21-1093', '21-10', '21', 'children program coordinator case manager'), ('21-1011', '21-10', '21', 'youth counselor'), ('43-6014', '43-60', '43', 'administrative assistant'), ('43-4171', '43-40', '43', 'receptionist')];5
4342;117646;['data analyst', 'marketing data analyst'];['13-1111', '13-1161'];['13-10', '13-10'];['13', '13'];[('13-1111', '13-10', '13', 'data analyst'), ('13-1161', '13-10', '13', 'marketing data analyst')];2
4343;117655;['end web developer', 'web design internet marketing specialist consultant', 'search product manager', 'web site administrator', 'training administrator'];['15-1254', '13-1161', '11-2021', '15-1299', '11-3131'];['15-12', '13-10', '11-20', '15-12', '11-30'];['15', '13', '11', '15', '11'];[('15-1254', '15-12', '15', 'end web developer'), ('13-1161', '13-10', '13', 'web design internet marketing specialist consultant'), ('11-2021', '11-20', '11', 'search product manager'), ('15-1299', '15-12', '15', 'web site administrator'), ('11-3131', '11-30', '11', 'training administrator')];5
4344;117666;['web developer computer repairs manager', 'store manager', 'area sales manager'];['15-1254', '11-1021', '11-2022'];['15-12', '11-10', '11-20'];['15', '11', '11'];[('15-1254', '15-12', '15', 'web developer computer repairs manager'), ('11-1021', '11-10', '11', 'store manager'), ('11-2022', '11-20', '11', 'area sales manager')];3
4345;117704;['event planner coordinator', 'service administrator', 'customer service representative', 'manager trainee'];['13-1121', '43-1011', '43-4051', '41-1011'];['13-10', '43-10', '43-40', '41-10'];['13', '43', '43', '41'];[('13-1121', '13-10', '13', 'event planner coordinator'), ('43-1011', '43-10', '43', 'service administrator'), ('43-4051', '43-40', '43', 'customer service representative'), ('41-1011', '41-10', '41', 'manager trainee')];4
4346;117770;['desktop support technician', 'desktop support technician', 'desktop deployment technician', 'user admin desktop support', 'user admin desktop support', 'system analyst', 'desktop support administrator'];['15-1232', '15-1232', '15-1232', '15-1232', '15-1232', '15-1211', '15-1244'];['15-12', '15-12', '15-12', '15-12', '15-12', '15-12', '15-12'];['15', '15', '15', '15', '15', '15', '15'];[('15-1232', '15-12', '15', 'desktop support technician'), ('15-1232', '15-12', '15', 'desktop support technician'), ('15-1232', '15-12', '15', 'desktop deployment technician'), ('15-1232', '15-12', '15', 'user admin desktop support'), ('15-1232', '15-12', '15', 'user admin desktop support'), ('15-1211', '15-12', '15', 'system analyst'), ('15-1244', '15-12', '15', 'desktop support administrator')];7
4347;117773;['sourcing specialist', 'indirect purchasing specialist', 'buyer', 'senior buyer', 'contract specialist', 'retail manager'];['13-1023', '13-1023', '13-1023', '13-1023', '13-1199', '41-1011'];['13-10', '13-10', '13-10', '13-10', '13-10', '41-10'];['13', '13', '13', '13', '13', '41'];[('13-1023', '13-10', '13', 'sourcing specialist'), ('13-1023', '13-10', '13', 'indirect purchasing specialist'), ('13-1023', '13-10', '13', 'buyer'), ('13-1023', '13-10', '13', 'senior buyer'), ('13-1199', '13-10', '13', 'contract specialist'), ('41-1011', '41-10', '41', 'retail manager')];6
4348;117794;['service bar manager', 'general manager', 'shipping mananger', 'military postal clerk mailroom supervisor'];['11-9051', '11-1021', '43-5071', '43-5051'];['11-90', '11-10', '43-50', '43-50'];['11', '11', '43', '43'];[('11-9051', '11-90', '11', 'service bar manager'), ('11-1021', '11-10', '11', 'general manager'), ('43-5071', '43-50', '43', 'shipping mananger'), ('43-5051', '43-50', '43', 'military postal clerk mailroom supervisor')];4
4349;117796;['client executive chief administrative officer service delivery executive chief staff special projects global transiti', 'president', 'senior vp pmo operations special projects chief staff calabasas', 'president', 'president', 'president'];['11-3021', '11-1011', '11-3021', '11-1011', '11-1011', '11-1011'];['11-30', '11-10', '11-30', '11-10', '11-10', '11-10'];['11', '11', '11', '11', '11', '11'];[('11-3021', '11-30', '11', 'client executive chief administrative officer service delivery executive chief staff special projects global transiti'), ('11-1011', '11-10', '11', 'president'), ('11-3021', '11-30', '11', 'senior vp pmo operations special projects chief staff calabasas'), ('11-1011', '11-10', '11', 'president'), ('11-1011', '11-10', '11', 'president'), ('11-1011', '11-10', '11', 'president')];6
4350;117804;['comptroller', 'business manager', 'beverage hospitality manager'];['11-3031', '11-1021', '11-9051'];['11-30', '11-10', '11-90'];['11', '11', '11'];[('11-3031', '11-30', '11', 'comptroller'), ('11-1021', '11-10', '11', 'business manager'), ('11-9051', '11-90', '11', 'beverage hospitality manager')];3
4351;117805;['printed circuits board cam engineer frontend night mgr utilizes cam', 'administrator philippines'];['17-2072', '15-1244'];['17-20', '15-12'];['17', '15'];[('17-2072', '17-20', '17', 'printed circuits board cam engineer frontend night mgr utilizes cam'), ('15-1244', '15-12', '15', 'administrator philippines')];2
4352;117839;['plant mills manager processing', 'general manager', 'dyeing manager'];['51-1011', '11-1021', '51-1011'];['51-10', '11-10', '51-10'];['51', '11', '51'];[('51-1011', '51-10', '51', 'plant mills manager processing'), ('11-1021', '11-10', '11', 'general manager'), ('51-1011', '51-10', '51', 'dyeing manager')];3
4353;117885;['contract engagements', 'customer service consultant', 'tech support', 'customer service consultant', 'customer service representative', 'programmer'];['13-1199', '43-4051', '15-1232', '43-4051', '43-4051', '15-1251'];['13-10', '43-40', '15-12', '43-40', '43-40', '15-12'];['13', '43', '15', '43', '43', '15'];[('13-1199', '13-10', '13', 'contract engagements'), ('43-4051', '43-40', '43', 'customer service consultant'), ('15-1232', '15-12', '15', 'tech support'), ('43-4051', '43-40', '43', 'customer service consultant'), ('43-4051', '43-40', '43', 'customer service representative'), ('15-1251', '15-12', '15', 'programmer')];6
4354;117904;['direct sales supervisor', 'director operations', 'general manager plant manager', 'customer service representative route salesman'];['41-1012', '11-1021', '11-1021', '41-4012'];['41-10', '11-10', '11-10', '41-40'];['41', '11', '11', '41'];[('41-1012', '41-10', '41', 'direct sales supervisor'), ('11-1021', '11-10', '11', 'director operations'), ('11-1021', '11-10', '11', 'general manager plant manager'), ('41-4012', '41-40', '41', 'customer service representative route salesman')];4
4355;117915;['bus aide', 'bus aide', 'human resource assistant data entry'];['33-9094', '33-9094', '43-4161'];['33-90', '33-90', '43-40'];['33', '33', '43'];[('33-9094', '33-90', '33', 'bus aide'), ('33-9094', '33-90', '33', 'bus aide'), ('43-4161', '43-40', '43', 'human resource assistant data entry')];3
4356;117932;['system engineer support', 'senior system developer administrator windows', 'supervisor', 'cashier', 'cashier'];['15-1244', '15-1252', '51-1011', '41-2011', '41-2011'];['15-12', '15-12', '51-10', '41-20', '41-20'];['15', '15', '51', '41', '41'];[('15-1244', '15-12', '15', 'system engineer support'), ('15-1252', '15-12', '15', 'senior system developer administrator windows'), ('51-1011', '51-10', '51', 'supervisor'), ('41-2011', '41-20', '41', 'cashier'), ('41-2011', '41-20', '41', 'cashier')];5
4357;117968;['served executive director jeffersonville urban enterprise', 'real estate development manager', 'deputy city manager', 'senior business development manager'];['11-1011', '11-9141', '11-1011', '11-2021'];['11-10', '11-90', '11-10', '11-20'];['11', '11', '11', '11'];[('11-1011', '11-10', '11', 'served executive director jeffersonville urban enterprise'), ('11-9141', '11-90', '11', 'real estate development manager'), ('11-1011', '11-10', '11', 'deputy city manager'), ('11-2021', '11-20', '11', 'senior business development manager')];4
4358;118041;['controller', 'accountant', 'accounting administrator', 'cpa', 'accounting assistant', 'served accounting assistant'];['11-3031', '13-2011', '43-1011', '13-2011', '43-3031', '43-3031'];['11-30', '13-20', '43-10', '13-20', '43-30', '43-30'];['11', '13', '43', '13', '43', '43'];[('11-3031', '11-30', '11', 'controller'), ('13-2011', '13-20', '13', 'accountant'), ('43-1011', '43-10', '43', 'accounting administrator'), ('13-2011', '13-20', '13', 'cpa'), ('43-3031', '43-30', '43', 'accounting assistant'), ('43-3031', '43-30', '43', 'served accounting assistant')];6
4359;118043;['claims examiner', 'rehabilitation counslor', 'vocational evaluator', 'vocational evaluator', 'lead therapist case manager', 'office manager'];['13-1031', '21-1015', '21-1012', '21-1012', '21-1023', '43-1011'];['13-10', '21-10', '21-10', '21-10', '21-10', '43-10'];['13', '21', '21', '21', '21', '43'];[('13-1031', '13-10', '13', 'claims examiner'), ('21-1015', '21-10', '21', 'rehabilitation counslor'), ('21-1012', '21-10', '21', 'vocational evaluator'), ('21-1012', '21-10', '21', 'vocational evaluator'), ('21-1023', '21-10', '21', 'lead therapist case manager'), ('43-1011', '43-10', '43', 'office manager')];6
4360;118065;['controller', 'consultant', 'r.e. mgmt', 'r.e. mgmt auditing', 'decron mgmt', 'controller', 'controller'];['11-3031', '13-1111', '11-1021', '13-2011', '11-1021', '11-3031', '11-3031'];['11-30', '13-10', '11-10', '13-20', '11-10', '11-30', '11-30'];['11', '13', '11', '13', '11', '11', '11'];[('11-3031', '11-30', '11', 'controller'), ('13-1111', '13-10', '13', 'consultant'), ('11-1021', '11-10', '11', 'r.e. mgmt'), ('13-2011', '13-20', '13', 'r.e. mgmt auditing'), ('11-1021', '11-10', '11', 'decron mgmt'), ('11-3031', '11-30', '11', 'controller'), ('11-3031', '11-30', '11', 'controller')];7
4361;118095;['driver', 'charter driver', 'driver', 'driver'];['53-3032', '53-3052', '53-3032', '53-3032'];['53-30', '53-30', '53-30', '53-30'];['53', '53', '53', '53'];[('53-3032', '53-30', '53', 'driver'), ('53-3052', '53-30', '53', 'charter driver'), ('53-3032', '53-30', '53', 'driver'), ('53-3032', '53-30', '53', 'driver')];4
4362;118165;['customer service technical analyst', 'senior service desk technician', 'technical support analyst ii', 'network systems engineer nd tss', 'consultant temp position employee maternity leave', 'technical support analyst'];['15-1232', '15-1232', '15-1232', '15-1244', '13-1141', '15-1232'];['15-12', '15-12', '15-12', '15-12', '13-10', '15-12'];['15', '15', '15', '15', '13', '15'];[('15-1232', '15-12', '15', 'customer service technical analyst'), ('15-1232', '15-12', '15', 'senior service desk technician'), ('15-1232', '15-12', '15', 'technical support analyst ii'), ('15-1244', '15-12', '15', 'network systems engineer nd tss'), ('13-1141', '13-10', '13', 'consultant temp position employee maternity leave'), ('15-1232', '15-12', '15', 'technical support analyst')];6
4364;118239;['co owner finance manager', 'portfolio auditor senior team leader', 'portfolio accountant cash investment daily operations', 'portfolio accountant', 'teller'];['11-3031', '13-2011', '13-2051', '13-2011', '43-3071'];['11-30', '13-20', '13-20', '13-20', '43-30'];['11', '13', '13', '13', '43'];[('11-3031', '11-30', '11', 'co owner finance manager'), ('13-2011', '13-20', '13', 'portfolio auditor senior team leader'), ('13-2051', '13-20', '13', 'portfolio accountant cash investment daily operations'), ('13-2011', '13-20', '13', 'portfolio accountant'), ('43-3071', '43-30', '43', 'teller')];5
4365;118246;['inventory operations supervisor', 'network management technician ii'];['51-1011', '15-1231'];['51-10', '15-12'];['51', '15'];[('51-1011', '51-10', '51', 'inventory operations supervisor'), ('15-1231', '15-12', '15', 'network management technician ii')];2
4366;118253;['chief financial officer', 'finance administrative director', 'finance facility director', 'internal audit manager'];['11-3031', '11-3012', '11-3012', '11-3031'];['11-30', '11-30', '11-30', '11-30'];['11', '11', '11', '11'];[('11-3031', '11-30', '11', 'chief financial officer'), ('11-3012', '11-30', '11', 'finance administrative director'), ('11-3012', '11-30', '11', 'finance facility director'), ('11-3031', '11-30', '11', 'internal audit manager')];4
4367;118267;['programmer analyst', 'programmer analyst', 'coordinator', 'application developer'];['15-1211', '15-1211', '43-6014', '15-1252'];['15-12', '15-12', '43-60', '15-12'];['15', '15', '43', '15'];[('15-1211', '15-12', '15', 'programmer analyst'), ('15-1211', '15-12', '15', 'programmer analyst'), ('43-6014', '43-60', '43', 'coordinator'), ('15-1252', '15-12', '15', 'application developer')];4
4368;118281;['account executive', 'assistant sales administration', 'teacher', 'bursar account representative', 'job coordinator', 'admissions representative'];['41-4012', '43-6014', '25-2021', '41-4012', '21-1012', '43-4111'];['41-40', '43-60', '25-20', '41-40', '21-10', '43-40'];['41', '43', '25', '41', '21', '43'];[('41-4012', '41-40', '41', 'account executive'), ('43-6014', '43-60', '43', 'assistant sales administration'), ('25-2021', '25-20', '25', 'teacher'), ('41-4012', '41-40', '41', 'bursar account representative'), ('21-1012', '21-10', '21', 'job coordinator'), ('43-4111', '43-40', '43', 'admissions representative')];6
