Id	MajorGroup	MinorGroup	DetailedOccupation	JobTitle_tokens	JobTitle_tokens_idx
4821	43	43-60	43-6011	hr senior assistant	[108, 12, 2]
4822	11	11-20	11-2011	branding promotion campaign	[1528, 777, 823]
4823	11	11-20	11-2021	web development brand management	[156, 54, 779, 60]
4824	13	13-20	13-2011	accountant financial books management maintenance	[36, 43, 0, 60, 72]
4825	43	43-30	43-3051	posted distributed employee payroll	[0, 0, 222, 103]
4826	33	33-90	33-9032	fire safety watch	[634, 202, 1529]
4827	53	53-30	53-3052	bus operator	[264, 38]
4828	11	11-20	11-2021	marketing director	[35, 16]
4829	11	11-20	11-2021	senior marketing manager product management marketing communications	[12, 35, 1, 107, 60, 35, 223]
4830	11	11-20	11-2021	senior marketing manager small office home office market	[12, 35, 1, 483, 8, 100, 8, 238]
4831	11	11-20	11-2021	director marketing creative services	[16, 35, 1530, 47]
4832	11	11-20	11-2021	senior manager creative services	[12, 1, 1530, 47]
4833	11	11-20	11-2022	national account manager	[175, 29, 1]
4834	11	11-20	11-2022	sales manager premium printing grades	[3, 1, 922, 0, 624]
4835	41	41-10	41-1011	jewelry sales manager trainee	[594, 3, 1, 262]
4836	15	15-12	15-1244	information systems administrator	[120, 56, 34]
4837	31	31-10	31-1122	household assistant	[1349, 2]
4838	41	41-20	41-2031	meet market associate	[0, 238, 9]
4839	43	43-40	43-4171	hr assistant receptionist	[108, 2, 27]
4840	43	43-30	43-3071	teller customer service representative trainer	[99, 5, 4, 6, 110]
4841	11	11-10	11-1021	zone manager	[1531, 1]
4842	13	13-10	13-1151	lead trainer	[37, 110]
4843	13	13-20	13-2011	auditor consultant	[102, 21]
4844	51	51-10	51-1011	material management specialty chemicals business intern	[188, 60, 405, 0, 28, 91]
4845	43	43-60	43-6014	business assistant	[28, 2]
4846	33	33-90	33-9099	loss prevention associate	[292, 373, 9]
4847	43	43-90	43-9061	business office assistant	[28, 8, 2]
4848	41	41-20	41-2031	sales associate customer service	[3, 9, 5, 4]
4849	43	43-90	43-9021	office hand data entry	[8, 1532, 45, 59]
4850	43	43-40	43-4171	volunteer hospitality desk assistant	[243, 793, 58, 2]
4851	21	21-10	21-1093	volunteer assistant	[243, 2]
4852	41	41-20	41-2031	sales seasonal	[3, 276]
4853	41	41-40	41-4012	men sales representative	[1143, 3, 6]
4854	13	13-20	13-2053	personal lines aligned underwriter alabama pennsylvania	[130, 409, 0, 256, 0, 0]
4855	43	43-40	43-4051	customer care special services ccss	[5, 55, 211, 47, 0]
4856	43	43-40	43-4051	customer service representative medical claims	[5, 4, 6, 26, 81]
4857	43	43-30	43-3031	general accounting bookkeeper	[32, 40, 124]
4858	25	25-20	25-2031	secondary social studies teacher	[874, 195, 826, 51]
4859	43	43-40	43-4051	customer service associate manager	[5, 4, 9, 1]
4860	33	33-90	33-9032	security officer concierge chrysler building	[63, 42, 882, 1533, 377]
4861	25	25-20	25-2031	coach teacher	[420, 51]
4862	43	43-10	43-1011	supervisor administrative services	[18, 10, 47]
4863	53	53-30	53-3033	local driver	[425, 25]
4864	21	21-10	21-1012	senior career	[12, 447]
4865	29	29-10	29-1141	nurse rn	[30, 137]
4866	29	29-10	29-1141	nurse medi city	[30, 0, 459]
4867	13	13-10	13-1151	training staff	[125, 52]
4868	51	51-90	51-9199	machine operator line supplier	[144, 38, 218, 559]
4869	43	43-60	43-6011	billing coordinator executive assistant	[84, 14, 19, 2]
4870	43	43-30	43-3011	meter collection specialist	[917, 186, 7]
4871	13	13-10	13-1151	positions including training center personnell	[512, 0, 125, 77, 0]
4872	11	11-10	11-1011	president riverwatch homeowners association	[31, 0, 1085, 669]
4873	43	43-60	43-6014	acting administrative assistant	[457, 10, 2]
4874	11	11-10	11-1011	rice memorial board chairman	[0, 0, 413, 1360]
4875	25	25-20	25-2022	setting middle school teacher	[842, 620, 194, 51]
4876	25	25-20	25-2021	ebd teacher elementary	[0, 51, 648]
4877	25	25-20	25-2031	span teacher high	[0, 51, 384]
4878	25	25-20	25-2021	reserve teacher grades capacities	[0, 51, 624, 0]
4879	25	25-20	25-2021	fifth grade teacher	[1534, 336, 51]
4880	25	25-20	25-2021	fifth sixth grade teacher	[1534, 0, 336, 51]
4881	11	11-10	11-1011	colleen abdulla ceo wow	[0, 0, 206, 0]
4882	11	11-90	11-9051	banquet director	[592, 16]
4883	43	43-40	43-4051	customer care specialist mini lab associate	[5, 55, 7, 1382, 232, 9]
4884	53	53-70	53-7062	computer recycling warehouse laborer	[76, 1477, 62, 121]
4885	41	41-20	41-2031	game advisor retail sales	[0, 147, 78, 3]
4886	11	11-30	11-3061	operations procurement director	[20, 301, 16]
4887	13	13-10	13-1023	hard trim buyer contract w chrysler llc	[964, 0, 105, 80, 775, 1533, 1147]
4888	13	13-10	13-1023	interior plastics buyer contract w ford motor co	[1120, 847, 105, 80, 775, 0, 573, 329]
4889	13	13-10	13-1023	outsourced services buyer	[0, 47, 105]
4890	13	13-10	13-1023	corporate mro buyer	[96, 1410, 105]
4891	29	29-10	29-1141	registered nurse ssa	[94, 30, 0]
4892	41	41-10	41-1011	lead direct motivate store management	[37, 284, 0, 39, 60]
4893	29	29-10	29-1141	registered nurse telemetry ccu	[94, 30, 684, 0]
4894	11	11-20	11-2021	denver market manager	[0, 238, 1]
4895	11	11-20	11-2022	sales director commission	[3, 16, 962]
4896	11	11-30	11-3013	district facilities manager	[87, 277, 1]
4897	53	53-70	53-7065	parts clerk	[259, 13]
4898	21	21-10	21-1022	social worker prime hospice	[195, 68, 1535, 396]
4899	21	21-10	21-1093	administrator assistant social worker assistant	[34, 2, 195, 68, 2]
4900	21	21-10	21-1093	social worker assistant	[195, 68, 2]
4901	51	51-90	51-9071	girl scout gold silver awards	[0, 0, 0, 1536, 955]
4902	15	15-12	15-1211	sr financial systems analyst	[53, 43, 56, 11]
4903	15	15-12	15-1211	hr financial systems analyst	[108, 43, 56, 11]
4904	43	43-30	43-3071	teller member service representative	[99, 101, 4, 6]
4905	43	43-30	43-3071	teller customer service representative	[99, 5, 4, 6]
4906	53	53-30	53-3032	truck driver dock worker	[89, 25, 370, 68]
4907	11	11-90	11-9033	director career services	[16, 447, 47]
4908	13	13-10	13-1071	senior staffing supervisor healthcare pilot recruiter	[12, 283, 18, 489, 0, 132]
4909	43	43-10	43-1011	senior staffing supervisor	[12, 283, 18]
4910	43	43-10	43-1011	desk service promise supervisor	[58, 4, 0, 18]
4911	43	43-10	43-1011	guest recognition coordinator	[260, 0, 14]
4912	13	13-10	13-1121	event management	[271, 60]
4913	43	43-90	43-9021	data entry specialist hispanic professional network	[45, 59, 7, 0, 226, 70]
4914	15	15-12	15-1232	r specialist	[485, 7]
4915	43	43-10	43-1011	customer support operations supervisor	[5, 17, 20, 18]
4916	43	43-50	43-5071	post closing shipping coordinator	[600, 672, 129, 14]
4917	43	43-90	43-9061	clerical receptionist	[122, 27]
4918	43	43-90	43-9061	office supplies specialist key holder	[8, 1309, 7, 307, 521]
4919	41	41-20	41-2031	shoes sales associate	[1537, 3, 9]
4920	15	15-12	15-1252	developer leading saas customer	[66, 0, 0, 5]
4921	43	43-60	43-6011	marketing services assistant	[35, 47, 2]
4922	13	13-20	13-2011	mediations mha escalations specialist auditor	[0, 0, 0, 7, 102]
4923	13	13-20	13-2071	loan counselor sr lien default coordinator	[64, 88, 53, 0, 1148, 14]
4924	15	15-12	15-1232	mac specialist	[0, 7]
4925	29	29-10	29-1141	habilitation nurse ii case manager	[1526, 30, 61, 114, 1]
4926	29	29-10	29-1141	registered nurse resource team	[94, 30, 150, 75]
4927	29	29-10	29-1141	registered nurse medical oncology	[94, 30, 26, 636]
4928	17	17-20	17-2112	production process management record auditor	[67, 246, 60, 1538, 102]
4929	29	29-20	29-2061	license practical nurse wound nurse	[332, 197, 30, 1262, 30]
4930	11	11-90	11-9033	chancellor	[0]
4931	31	31-10	31-1121	certified home health aide	[74, 100, 73, 131]
4932	41	41-30	41-3021	personal protection agent	[130, 789, 49]
4933	33	33-90	33-9032	public security officer	[352, 63, 42]
4934	43	43-40	43-4051	customer care representative ccr	[5, 55, 6, 1539]
4935	43	43-60	43-6014	assisting office administrator miscellaneous duties office	[535, 8, 34, 0, 444, 8]
4936	47	47-20	47-2152	class apprentice fire sprinkler fitter	[306, 272, 634, 1540, 1541]
4937	47	47-20	47-2152	apprentice fire sprinkler fitter	[272, 634, 1540, 1541]
4938	53	53-30	53-3032	tractor trailer driver	[569, 570, 25]
4939	53	53-30	53-3032	refuse truck driver relief tractor trailer driver relief supervisor	[0, 89, 25, 717, 569, 570, 25, 717, 18]
4940	43	43-50	43-5071	shipping receiving technician	[129, 119, 24]
4941	41	41-20	41-2031	sales floor rep	[3, 201, 44]
4942	13	13-20	13-2071	financial aid counselor	[43, 346, 88]
4943	11	11-10	11-1021	studio manager	[0, 1]
4944	43	43-40	43-4051	customer care resolution specialist	[5, 55, 656, 7]
4945	13	13-20	13-2082	tax specialist tax department	[181, 7, 181, 83]
4946	41	41-30	41-3031	financial representative	[43, 6]
4947	41	41-30	41-3021	licensed state montana life health	[136, 439, 0, 388, 73]
4948	31	31-10	31-1122	home provider	[100, 374]
4949	47	47-20	47-2031	siding installer apprentice	[1490, 360, 272]
4950	11	11-30	11-3121	human resource office manager	[33, 150, 8, 1]
4951	11	11-90	11-9111	direct care administrator	[284, 55, 34]
4952	13	13-10	13-1071	human resource representative	[33, 150, 6]
4953	11	11-90	11-9039	sergeant distance education program	[0, 1288, 219, 115]
4954	33	33-90	33-9032	camp guard area camp pendleton	[871, 165, 146, 871, 0]
4955	43	43-40	43-4051	retention specialist customer service representative	[437, 7, 5, 4, 6]
4956	15	15-12	15-1253	software test analyst	[82, 290, 11]
4957	15	15-12	15-1253	qa test analyst	[228, 290, 11]
4958	53	53-70	53-7062	material handler accessible line worker	[188, 187, 1542, 218, 68]
4959	53	53-70	53-7051	forklift operator accessible line worker	[128, 38, 1542, 218, 68]
4960	43	43-60	43-6011	executive assistant owner	[19, 2, 127]
4961	43	43-60	43-6011	executive assistant president	[19, 2, 31]
4962	43	43-60	43-6011	executive assistant customer care vice president	[19, 2, 5, 55, 50, 31]
4963	43	43-60	43-6011	executive assistant division vice president	[19, 2, 200, 50, 31]
4964	43	43-60	43-6014	temporary administrative assistant	[157, 10, 2]
4965	13	13-10	13-1161	product development coordinator	[107, 54, 14]
4966	53	53-70	53-7062	stocker unloader	[204, 621]
4967	53	53-70	53-7051	forklift operator chipper operator	[128, 38, 0, 38]
4968	41	41-40	41-4012	outside sales representative new business development	[192, 3, 6, 242, 28, 54]
4969	41	41-40	41-4012	regional representative week western region	[69, 6, 1296, 508, 293]
4970	41	41-30	41-3091	sales representative new member accounts	[3, 6, 242, 101, 48]
4971	41	41-40	41-4012	inside sales representative account manager	[139, 3, 6, 29, 1]
4972	43	43-40	43-4181	ticketing intern	[1543, 91]
4973	43	43-40	43-4051	customer service new patient accounts department	[5, 4, 242, 98, 48, 83]
4974	51	51-10	51-1011	supervisor diamond setting department	[18, 0, 842, 83]
4975	53	53-30	53-3033	floral customer service delivery driver	[0, 5, 4, 172, 25]
4976	43	43-60	43-6014	end coordinator	[300, 14]
4977	43	43-40	43-4051	deli customer service	[367, 5, 4]
4978	49	49-90	49-9071	instrumentation mechanic assistant	[1107, 171, 2]
4979	41	41-40	41-4012	manufacuring	[0]
4980	53	53-70	53-7064	pick pack	[1115, 1544]
4981	13	13-10	13-1071	human resource coordinator	[33, 150, 14]
4982	13	13-10	13-1071	employment coordinator	[289, 14]
4983	13	13-10	13-1151	education training coordinator	[219, 125, 14]
4984	15	15-12	15-1232	technician desktop services intern	[24, 126, 47, 91]
4985	43	43-90	43-9061	intern help desk support assistant	[91, 117, 58, 17, 2]
4986	15	15-12	15-1254	web consultant	[156, 21]
4987	13	13-10	13-1071	sourcer	[1545]
4988	13	13-20	13-2072	loan officer national	[64, 42, 175]
4989	43	43-60	43-6011	assistant vice president branch administration	[2, 50, 31, 106, 133]
4990	11	11-10	11-1011	director chief executive	[16, 123, 19]
4991	11	11-20	11-2022	director sales marketing sales manager	[16, 3, 35, 3, 1]
4992	41	41-30	41-3031	financial services district manager sales agent	[43, 47, 87, 1, 3, 49]
4993	11	11-90	11-9111	nursing administration	[92, 133]
4994	43	43-40	43-4171	reception door	[562, 665]
4995	11	11-90	11-9141	property development manager	[95, 54, 1]
4996	53	53-30	53-3031	route sales driver	[227, 3, 25]
4997	43	43-30	43-3031	accounts payable specialist lead	[48, 85, 7, 37]
4998	13	13-10	13-1199	operations administrative specialist	[20, 10, 7]
4999	43	43-30	43-3011	credit collections representative	[111, 138, 6]
5000	49	49-90	49-9021	apprentice hvac local	[272, 354, 425]
5001	47	47-20	47-2152	plumbing apprentice	[794, 272]
5002	43	43-90	43-9061	office associate office clerks general	[8, 9, 8, 609, 32]
5003	43	43-90	43-9021	clerk data entry keyers	[13, 45, 59, 1546]
5004	13	13-20	13-2081	revenue auditor	[395, 102]
5005	33	33-90	33-9032	security officer security guards	[63, 42, 63, 0]
5006	35	35-30	35-3031	beverage server	[327, 65]
5007	29	29-20	29-2052	pharmacy tech medical assistant	[142, 135, 26, 2]
5008	11	11-20	11-2022	vp sales east coast division	[203, 3, 1043, 1044, 200]
5009	53	53-70	53-7062	manually hand	[0, 1532]
5010	43	43-50	43-5061	notes coordinator expeditor	[0, 14, 514]
5011	43	43-60	43-6013	medical secretary medical assistant	[26, 46, 26, 2]
5012	31	31-10	31-1122	private care assistant	[402, 55, 2]
5013	43	43-60	43-6013	medical receptionist medical assistant	[26, 27, 26, 2]
5014	33	33-90	33-9032	armed security officer secure	[690, 63, 42, 0]
5015	33	33-90	33-9093	dhs transportation security admin	[0, 338, 63, 199]
5016	33	33-90	33-9032	unarmed security officer	[583, 63, 42]
5017	11	11-90	11-9032	founder principal	[366, 229]
5018	13	13-20	13-2023	fee appraiser	[0, 1129]
5019	13	13-10	13-1151	trainer new employees	[110, 242, 1086]
5020	41	41-20	41-2011	cashier general customer service	[15, 32, 5, 4]
5021	25	25-20	25-2011	daycare teacher onsite kids room	[1496, 51, 1149, 0, 288]
5022	43	43-90	43-9061	manage office daily duties customer service quoting writing policies endorsements payment processing data entry	[866, 8, 674, 444, 5, 4, 0, 0, 0, 0, 708, 302, 45, 59]
5023	13	13-10	13-1151	training supervisor	[125, 18]
5024	17	17-20	17-2171	lead operations engineer offshore methods	[37, 20, 22, 877, 1547]
5025	17	17-20	17-2051	pipeline engineer	[1142, 22]
5026	51	51-90	51-9061	inbound quality control inspector	[386, 71, 97, 217]
5027	17	17-20	17-2141	senior design engineer	[12, 159, 22]
5028	43	43-40	43-4081	reservations rep	[670, 44]
5029	35	35-30	35-3023	concession worker	[808, 68]
5030	43	43-40	43-4051	customer services clerk	[5, 47, 13]
5031	21	21-10	21-1093	family support specialist ii	[244, 17, 7, 61]
5032	33	33-90	33-9093	screener	[1067]
5033	43	43-30	43-3031	payment processor	[708, 112]
5034	21	21-10	21-1023	intervention specialist	[1548, 7]
5035	41	41-40	41-4012	office manager commercial construction sales division	[8, 1, 152, 154, 3, 200]
5036	29	29-10	29-1171	nurse practitioner	[30, 783]
5037	29	29-10	29-1171	certified pediatric nurse practitioner	[74, 383, 30, 783]
5038	29	29-10	29-1141	pediatric registered nurse	[383, 94, 30]
5039	29	29-10	29-1141	oncology registered nurse	[636, 94, 30]
5040	29	29-10	29-1141	surgical oncology registered nurse	[337, 636, 94, 30]
5041	29	29-20	29-2072	medical records auditor chart retriever	[26, 182, 102, 1150, 0]
5042	11	11-10	11-1021	area manager store manager	[146, 1, 39, 1]
5043	13	13-10	13-1082	project management	[23, 60]
5044	13	13-20	13-2011	supervising senior auditor	[732, 12, 102]
5045	13	13-20	13-2011	summer intern accounting department	[829, 91, 40, 83]
5046	41	41-20	41-2031	sales team	[3, 75]
5047	13	13-10	13-1161	strategy research	[400, 164]
5048	13	13-10	13-1111	analyst performance management	[11, 416, 60]
5049	15	15-12	15-1244	jr systems administrator	[467, 56, 34]
5050	31	31-90	31-9091	pediatric dental assistant	[383, 209, 2]
5051	11	11-10	11-1021	lott manger	[0, 273]
5052	43	43-10	43-1011	claims administration coordinator	[81, 133, 14]
5053	51	51-10	51-1011	orthodontic processing supervisor	[959, 302, 18]
5054	11	11-30	11-3031	fl controller	[1549, 79]
5055	43	43-40	43-4051	secretary customer service representative	[46, 5, 4, 6]
5056	47	47-20	47-2061	cashier washer laborer	[15, 0, 121]
5057	11	11-90	11-9121	senior managing consultant pharmaceutical r&d strategy change sector diversity leader	[12, 364, 21, 423, 1504, 400, 1550, 920, 854, 109]
5058	11	11-90	11-9111	clinical project manager clinical department	[161, 23, 1, 161, 83]
5059	41	41-20	41-2031	lumber associate	[901, 9]
5060	43	43-60	43-6014	research assistant secretary	[164, 2, 46]
5061	13	13-10	13-1131	fundraiser	[1551]
5062	43	43-40	43-4051	customer care rep center	[5, 55, 44, 77]
5063	43	43-90	43-9021	data entry operator ii	[45, 59, 38, 61]
5064	43	43-90	43-9021	data entry specialist center	[45, 59, 7, 77]
5065	43	43-60	43-6014	administrative assistant pastor	[10, 2, 1037]
5066	15	15-12	15-1254	web developer belisted1st	[156, 66, 0]
5067	15	15-12	15-1232	hardware technician	[369, 24]
5068	15	15-12	15-1254	web development intern	[156, 54, 91]
5069	11	11-90	11-9051	house bar manager	[597, 436, 1]
5070	35	35-30	35-3011	trainer server bartender	[110, 65, 149]
5071	11	11-30	11-3061	e procurement business manager	[454, 301, 28, 1]
5072	11	11-30	11-3061	chemical equipment procurement manager	[1062, 303, 301, 1]
5073	15	15-12	15-1211	procurement system development	[301, 180, 54]
5074	13	13-10	13-1022	procurement buyer manager	[301, 105, 1]
5075	51	51-10	51-1011	tobey moore supervisor	[0, 0, 18]
5076	47	47-20	47-2141	line painter	[218, 595]
5077	53	53-70	53-7062	2nd shift unloader	[502, 263, 621]
5078	53	53-70	53-7065	grocery clerk	[349, 13]
5079	43	43-10	43-1011	accounts payable supervisor	[48, 85, 18]
5080	43	43-40	43-4171	title assistant receptionist	[387, 2, 27]
5081	43	43-30	43-3031	accounts payable clerk ii	[48, 85, 13, 61]
5082	11	11-90	11-9199	director membership retention	[16, 561, 437]
5083	43	43-60	43-6014	personal confidential assistant church administrator	[130, 0, 2, 821, 34]
5084	21	21-10	21-1093	correctional case manager specialist transitional coordinator	[1080, 114, 1, 7, 0, 14]
5085	11	11-90	11-9051	bar beverage manager	[436, 327, 1]
5086	43	43-40	43-4051	customer account representative	[5, 29, 6]
5087	21	21-10	21-1099	community outreach specialist	[189, 381, 7]
5088	41	41-10	41-1011	company sales leader	[311, 3, 109]
5089	43	43-10	43-1011	dealer customer support activities	[628, 5, 17, 1015]
5090	43	43-40	43-4051	customer service rep cashier	[5, 4, 44, 15]
5091	11	11-10	11-1021	operations manager city county san francisco	[20, 1, 459, 517, 739, 1268]
5092	11	11-10	11-1011	management assistant city county san sfmta	[60, 2, 459, 517, 739, 0]
5093	43	43-40	43-4131	consumer loan specialist	[392, 64, 7]
5094	41	41-30	41-3021	communicator sales	[0, 3]
5095	41	41-20	41-2011	sales cashier tech	[3, 15, 135]
5096	35	35-30	35-3031	banquets desk server housekeeping	[1552, 58, 65, 0]
5097	17	17-20	17-2131	senior engineer welding	[12, 22, 929]
5098	17	17-20	17-2131	engineer welding joined engineer trainee	[22, 929, 0, 22, 262]
5099	13	13-10	13-1199	cost basis operations specialist	[234, 1553, 20, 7]
5100	41	41-40	41-4012	senior sales associate	[12, 3, 9]
5101	13	13-10	13-1151	crew trainer	[153, 110]
5102	13	13-10	13-1081	logistical routing position months	[869, 0, 399, 1391]
5103	11	11-30	11-3031	capital financial group assitant	[925, 43, 216, 1468]
5104	41	41-40	41-4012	sales rep merchandiser time	[3, 44, 671, 113]
5105	43	43-30	43-3031	accounting clerk time	[40, 13, 113]
5106	53	53-70	53-7065	return clerk inventory clerk stock monitor merchandiser	[923, 13, 90, 13, 183, 895, 671]
5107	41	41-40	41-4012	outside sales rep	[192, 3, 44]
5108	41	41-20	41-2031	customer sales service representative	[5, 3, 4, 6]
5109	43	43-10	43-1011	lead teller	[37, 99]
5110	53	53-70	53-7065	customer service loading unloading data entry	[5, 4, 754, 1299, 45, 59]
5111	31	31-10	31-1131	hospice certified nursing assistant	[396, 74, 92, 2]
5112	21	21-10	21-1014	crisis intervention counselor	[862, 1548, 88]
5113	11	11-90	11-9041	director electrical engineering	[16, 252, 177]
5114	11	11-90	11-9041	director hardware engineering	[16, 369, 177]
5115	11	11-20	11-2021	director dedicated team product development	[16, 998, 75, 107, 54]
5116	17	17-20	17-2071	lead electrical engineer	[37, 252, 22]
5117	13	13-10	13-1082	senior project specialist	[12, 23, 7]
5118	43	43-60	43-6011	executive administrative assistant medical staff coordinator	[19, 10, 2, 26, 52, 14]
5119	29	29-10	29-1141	unit hospital coordinator	[173, 593, 14]
5120	43	43-40	43-4051	independent merchandising customer service evaluation specialist	[296, 440, 5, 4, 0, 7]
5121	41	41-10	41-1011	retail appliance electronics store general sales manager	[78, 1116, 566, 39, 32, 3, 1]
5122	41	41-30	41-3021	licensed north carolina individual broker	[136, 712, 0, 868, 312]
5123	11	11-30	11-3031	finance insurance manager	[93, 116, 1]
5124	11	11-10	11-1021	dealership owner general manager	[0, 127, 32, 1]
5125	43	43-10	43-1011	office agent manager duty	[8, 49, 1, 579]
5126	41	41-20	41-2031	sales representative image specialist	[3, 6, 1151, 7]
5127	41	41-20	41-2011	cashier salesperson florist	[15, 347, 1461]
5128	41	41-20	41-2011	cashier salesperson	[15, 347]
5129	43	43-90	43-9061	administrative assistant clerk	[10, 2, 13]
5130	11	11-20	11-2021	global product management sales	[208, 107, 60, 3]
5131	43	43-60	43-6013	administrative clinical medical assistant externship	[10, 161, 26, 2, 445]
5132	53	53-70	53-7051	order picker fork lift	[185, 325, 458, 363]
5133	11	11-10	11-1011	class president	[306, 31]
5134	43	43-60	43-6014	office administrative receptionist	[8, 10, 27]
5135	43	43-90	43-9061	receptionist office assistant	[27, 8, 2]
5136	43	43-60	43-6013	patient coordinator clerical assistant	[98, 14, 122, 2]
5137	43	43-60	43-6014	clerical administrative assistant	[122, 10, 2]
5138	31	31-90	31-9092	medical assistant orthopaedic technician	[26, 2, 1554, 24]
5139	31	31-10	31-1131	orthopaedic technician certified nursing assistant	[1554, 24, 74, 92, 2]
5140	53	53-30	53-3032	bay driver	[1133, 25]
5141	43	43-10	43-1011	customer service center supervisor	[5, 4, 77, 18]
5142	15	15-12	15-1241	communications infrastructure specialist	[223, 340, 7]
5143	51	51-10	51-1011	manufacturing foreman	[151, 465]
5144	47	47-20	47-2042	vinyl floor installer	[0, 201, 360]
5145	43	43-10	43-1011	assistant blue team service manager	[2, 1118, 75, 4, 1]
5146	13	13-10	13-1161	research adjustment analyst ii	[164, 1152, 11, 61]
5147	43	43-60	43-6011	assistant vice president malden administration support proof incentive plan reporting	[2, 50, 31, 0, 133, 17, 625, 1153, 0, 330]
5148	43	43-40	43-4051	process specialist	[246, 7]
5149	21	21-10	21-1012	student coordinator	[190, 14]
5150	11	11-10	11-1011	president asian awareness group	[31, 1555, 1295, 216]
5151	21	21-10	21-1093	field work assistant	[145, 345, 2]
5152	25	25-20	25-2021	department teacher education	[83, 51, 219]
5153	11	11-90	11-9033	chairperson	[1028]
5154	41	41-20	41-2031	associate psychotherapist	[9, 0]
5155	43	43-10	43-1011	customer services help desk assistant	[5, 47, 117, 58, 2]
5156	21	21-10	21-1093	case worker human services ii	[114, 68, 33, 47, 61]
5157	43	43-10	43-1011	office manager coordinator	[8, 1, 14]
5158	43	43-60	43-6011	executive assistant superintendent human services	[19, 2, 179, 33, 47]
5159	43	43-40	43-4161	recruiting assistant	[265, 2]
5160	13	13-10	13-1071	assistant coordinator recruitment retention	[2, 14, 426, 437]
5161	41	41-20	41-2011	ride operator cashier	[0, 38, 15]
5162	41	41-30	41-3011	ck marketing sole independent marketing representative college guide	[0, 35, 0, 296, 35, 6, 668, 1556]
5163	43	43-10	43-1011	guest services supervisor	[260, 47, 18]
5164	43	43-10	43-1011	desk supervisor	[58, 18]
5165	41	41-30	41-3021	premium insurance auditor	[922, 116, 102]
5166	21	21-10	21-1093	child care subsidy case manager	[326, 55, 0, 114, 1]
5167	25	25-20	25-2021	educator teacher	[393, 51]
5168	11	11-30	11-3071	manager transportation	[1, 338]
5169	41	41-30	41-3021	life health agent	[388, 73, 49]
5170	13	13-20	13-2072	licensed loan officer	[136, 64, 42]
5171	47	47-20	47-2061	laborer welder	[121, 647]
5172	43	43-30	43-3071	check cashing mgr	[735, 0, 313]
5173	43	43-10	43-1011	la child support enforcement administrative supervisor	[1557, 326, 17, 0, 10, 18]
5174	11	11-10	11-1021	vp field operations southeast region	[203, 145, 20, 831, 293]
5175	11	11-10	11-1021	branch manager orlando operations center	[106, 1, 1145, 20, 77]
5176	11	11-30	11-3031	asst branch manager	[168, 106, 1]
5177	47	47-20	47-2061	skilled laborer construction	[718, 121, 154]
5178	43	43-40	43-4051	customer service representative technical support	[5, 4, 6, 57, 17]
5179	43	43-40	43-4051	customer service electronics department representative	[5, 4, 566, 83, 6]
5180	41	41-20	41-2011	bookstore employee cashier	[0, 222, 15]
5181	43	43-60	43-6014	administrative assistant receptionists	[10, 2, 1154]
5182	41	41-20	41-2031	home sales associate	[100, 3, 9]
5183	43	43-60	43-6014	p r office admin	[631, 485, 8, 199]
5184	43	43-90	43-9021	sap data entry word excel	[889, 45, 59, 606, 0]
5185	29	29-10	29-1021	dr edgar dean dds	[852, 0, 855, 0]
5186	13	13-10	13-1082	associate project manager	[9, 23, 1]
5187	11	11-20	11-2021	partner design commercial manager	[298, 159, 152, 1]
5188	15	15-12	15-1211	business development design consultant	[28, 54, 159, 21]
5189	11	11-10	11-1021	vice president north america operations director shared services	[50, 31, 712, 575, 20, 16, 1275, 47]
5190	13	13-10	13-1151	consultant trainer	[21, 110]
5191	13	13-10	13-1111	consultant lead	[21, 37]
5192	29	29-10	29-1141	registered nurse transition planner case manager	[94, 30, 930, 193, 114, 1]
5193	29	29-10	29-1141	registered nurse case manager	[94, 30, 114, 1]
5194	29	29-10	29-1141	registered nurse behavioral health	[94, 30, 516, 73]
5195	43	43-40	43-4131	commerical loan closer	[0, 64, 452]
5196	13	13-20	13-2072	loan processing supervisor	[64, 302, 18]
5197	43	43-40	43-4131	loan documentation specialist team lead	[64, 403, 7, 75, 37]
5198	13	13-10	13-1199	loan operations specialist team lead	[64, 20, 7, 75, 37]
5199	13	13-20	13-2072	commercial loan specialist iii	[152, 64, 7, 169]
5200	13	13-20	13-2011	quality auditor	[71, 102]
5201	31	31-10	31-1122	sunrise senior living	[0, 12, 532]
5202	11	11-30	11-3061	global purchasing supplier manager	[208, 86, 559, 1]
5203	41	41-20	41-2011	casher pst	[1558, 1559]
5204	53	53-70	53-7051	medical supply forklift driver pst	[26, 247, 128, 25, 1559]
5205	43	43-60	43-6014	assistant manager desk	[2, 1, 58]
5206	31	31-10	31-1131	nurses assistant	[361, 2]
5207	41	41-20	41-2011	customers services cashier	[406, 47, 15]
5208	41	41-20	41-2031	sales associate customer services cashier	[3, 9, 5, 47, 15]
5209	41	41-20	41-2031	sales associate customer services	[3, 9, 5, 47]
5210	43	43-90	43-9061	clerk office assistant	[13, 8, 2]
5211	41	41-30	41-3011	classified sales representative	[608, 3, 6]
5212	17	17-20	17-2011	aircraft hydraulic engineer aircraft painter	[462, 0, 22, 462, 595]
5213	15	15-12	15-1211	system analyst	[180, 11]
5214	43	43-90	43-9061	circulation clerk	[1155, 13]
5215	41	41-10	41-1011	general manager assistant sales person	[32, 1, 2, 3, 331]
5216	11	11-20	11-2022	sales director hangzhou	[3, 16, 0]
